CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
23031,"SAULMORE, TOM A' CHROCHAIDH","BURIAL CAIRN (LATER PREHISTORIC)(POSSIBLE), ENCLOSURE (PERIOD UNKNOWN)(POSSIBLE), EXECUTION SITE (PERIOD UNKNOWN)(POSSIBLE)",ARGYLL,NM 8912 3388,189120.0,733880.0,https://canmore.org.uk/site/23031/,cairn
22571,DAIL NAN CEANN,"BATTLE SITE (PERIOD UNKNOWN), CAIRN(S) (PREHISTORIC)",ARGYLL,NM 7777 0445,177770.0,704450.0,https://canmore.org.uk/site/22571/,cairn
23039,DUNSTAFFNAGE HOUSE,CAIRN (LATER PREHISTORIC),ARGYLL,NM 89782 33840,189782.0,733840.0,https://canmore.org.uk/site/23039/,cairn
23051,PENNYFUIR,CAIRN (LATER PREHISTORIC),ARGYLL,NM 8699 3128,186990.0,731280.0,https://canmore.org.uk/site/23051/,cairn
23054,GANAVAN,HUT CIRCLE (PREHISTORIC),ARGYLL,NM 863 330,186300.0,733000.0,https://canmore.org.uk/site/23054/,roundhouse
22588,"SCARBA, GLEN MHAOIL",SHIELING HUT(S) (POST MEDIEVAL)(POSSIBLE),ARGYLL,NM 713 043,171300.0,704300.0,https://canmore.org.uk/site/22588/,shieling
22591,"SEIL, CLACHAN BRIDGE",BURIAL CAIRN (PREHISTORIC),ARGYLL,NM 77949 19258,177949.0,719258.0,https://canmore.org.uk/site/22591/,cairn
22917,KILMORE,CAIRN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,NM 88090 26083,188090.0,726083.0,https://canmore.org.uk/site/22917/,cairn
22918,KILMORE,CAIRN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,NM 88031 26253,188031.0,726253.0,https://canmore.org.uk/site/22918/,cairn
22919,KILMORE,CAIRN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,NM 87947 26951,187947.0,726951.0,https://canmore.org.uk/site/22919/,cairn
